[20:45:37] [INFO] received Windows console close event; shutting log-core down
[20:47:51] [INFO] received Windows console close event; shutting log-core down
[09:29:22] [INFO] received Windows console close event; shutting log-core down
[09:38:36] [INFO] received Windows console close event; shutting log-core down
[09:44:44] [INFO] received Windows console close event; shutting log-core down
[10:13:33] [INFO] received Windows console close event; shutting log-core down
[12:23:54] [INFO] received Windows console close event; shutting log-core down
[03:03:00] [INFO] received Windows console close event; shutting log-core down
[14:49:00] [INFO] received Windows console close event; shutting log-core down
[22:45:09] [INFO] received Windows console close event; shutting log-core down
[22:46:38] [INFO] received Windows console close event; shutting log-core down
[22:55:33] [INFO] received Windows console close event; shutting log-core down
[23:02:52] [INFO] received Windows console close event; shutting log-core down
[23:07:52] [INFO] received Windows console close event; shutting log-core down
[23:13:13] [INFO] received Windows console close event; shutting log-core down
[23:31:41] [INFO] received Windows console close event; shutting log-core down
[23:32:55] [INFO] received Windows console close event; shutting log-core down
[23:41:06] [INFO] received Windows console close event; shutting log-core down
[23:58:33] [INFO] received Windows console close event; shutting log-core down
[00:11:22] [INFO] received Windows console close event; shutting log-core down
[00:14:52] [INFO] received Windows console close event; shutting log-core down
[00:17:53] [INFO] received Windows console close event; shutting log-core down
[00:19:38] [INFO] received Windows console close event; shutting log-core down
[00:25:27] [INFO] received Windows console close event; shutting log-core down
[00:35:24] [INFO] received Windows console close event; shutting log-core down
[00:45:28] [INFO] received Windows console close event; shutting log-core down
[00:54:58] [INFO] received Windows console close event; shutting log-core down
[00:59:10] [INFO] received Windows console close event; shutting log-core down
[10:36:27] [INFO] received Windows console close event; shutting log-core down
[10:47:25] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10:48:03] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10:48:47] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10:48:56] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[15:48:21] [INFO] received Windows console close event; shutting log-core down
[15:56:18] [INFO] received Windows console close event; shutting log-core down
[17:01:36] [INFO] received Windows console close event; shutting log-core down
[18:38:30] [INFO] received Windows console close event; shutting log-core down
[18:38:30] [INFO] received Windows console close event; shutting log-core down
[18:54:54] [INFO] received Windows console close event; shutting log-core down
[18:55:03] [INFO] received Windows console close event; shutting log-core down
[19:05:54] [INFO] received Windows console close event; shutting log-core down
[19:06:52] [INFO] received Windows console close event; shutting log-core down
[19:08:19] [INFO] received Windows console close event; shutting log-core down
[19:08:47] [INFO] received Windows console close event; shutting log-core down
[19:25:25] [INFO] received Windows console close event; shutting log-core down
[22:04:45] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:05:56] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:07:07] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:08:19] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:18:43] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[22:20:26] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[23:20:49] [INFO] received Windows console close event; shutting log-core down
[23:29:15] [INFO] received Windows console close event; shutting log-core down
[23:32:42] [INFO] received Windows console close event; shutting log-core down
[23:36:34] [INFO] received Windows console close event; shutting log-core down
[23:51:13] [INFO] received Windows console close event; shutting log-core down
[23:53:09] [INFO] received Windows console close event; shutting log-core down
[23:56:59] [INFO] received Windows console close event; shutting log-core down
[23:57:27] [INFO] received Windows console close event; shutting log-core down
[23:57:55] [INFO] received Windows console close event; shutting log-core down
[00:01:23] [INFO] received Windows console close event; shutting log-core down
[00:02:31] [INFO] received Windows console close event; shutting log-core down
[00:13:02] [INFO] received Windows console close event; shutting log-core down
[00:15:45] [INFO] received Windows console close event; shutting log-core down
[00:16:34] [INFO] received Windows console close event; shutting log-core down
[00:16:47] [INFO] received Windows console close event; shutting log-core down
[00:16:55] [INFO] received Windows console close event; shutting log-core down
[00:17:38] [INFO] received Windows console close event; shutting log-core down
[00:41:29] [INFO] received Windows console close event; shutting log-core down
[00:43:43] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:45:52] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:58:31] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01:13:22] [INFO] received Windows console close event; shutting log-core down
[01:27:34] [INFO] received Windows console close event; shutting log-core down
[01:55:00] [INFO] received Windows console close event; shutting log-core down
[13:39:39] [INFO] received Windows console close event; shutting log-core down
[00:03:02] [INFO] received Windows console close event; shutting log-core down
[00:09:18] [INFO] received Windows console close event; shutting log-core down
[01:40:25] [INFO] received Windows console close event; shutting log-core down
[01:40:37] [INFO] received Windows console close event; shutting log-core down
[01:46:48] [INFO] received Windows console close event; shutting log-core down
[01:48:36] [INFO] received Windows console close event; shutting log-core down
[02:43:38] [INFO] received Windows console close event; shutting log-core down
[15:17:06] [INFO] received Windows console close event; shutting log-core down
[20:11:27] [INFO] received Windows console close event; shutting log-core down
[22:25:18] [INFO] received Windows console close event; shutting log-core down
[23:43:32] [INFO] received Windows console close event; shutting log-core down
[23:44:13] [INFO] received Windows console close event; shutting log-core down
[23:52:09] [INFO] received Windows console close event; shutting log-core down
[17:01:25] [INFO] received Windows console close event; shutting log-core down
[17:07:17] [INFO] received Windows console close event; shutting log-core down
[17:12:15] [INFO] received Windows console close event; shutting log-core down
[17:12:15] [INFO] received Windows console close event; shutting log-core down
[17:16:25] [INFO] received Windows console close event; shutting log-core down
[17:17:22] [INFO] received Windows console close event; shutting log-core down
[17:28:19] [INFO] received Windows console close event; shutting log-core down
[17:29:25] [INFO] received Windows console close event; shutting log-core down
[17:42:23] [INFO] received Windows console close event; shutting log-core down
[17:43:06] [INFO] received Windows console close event; shutting log-core down
[17:44:37] [INFO] received Windows console close event; shutting log-core down
[17:51:06] [INFO] received Windows console close event; shutting log-core down
[18:14:31] [INFO] received Windows console close event; shutting log-core down
[18:17:41] [INFO] received Windows console close event; shutting log-core down
[18:48:32] [INFO] received Windows console close event; shutting log-core down
[18:52:23] [INFO] received Windows console close event; shutting log-core down
[18:58:54] [INFO] received Windows console close event; shutting log-core down
[19:15:16] [INFO] received Windows console close event; shutting log-core down
[19:46:17] [INFO] received Windows console close event; shutting log-core down
[23:53:34] [INFO] received Windows console close event; shutting log-core down
[00:11:36] [INFO] received Windows console close event; shutting log-core down
[00:52:57] [INFO] received Windows console close event; shutting log-core down
[11:18:46] [INFO] received Windows console close event; shutting log-core down
[14:14:18] [INFO] received Windows console close event; shutting log-core down
[14:21:42] [INFO] received Windows console close event; shutting log-core down
[14:37:04] [INFO] received Windows console close event; shutting log-core down
[14:53:02] [INFO] received Windows console close event; shutting log-core down
[17:25:02] [INFO] received Windows console close event; shutting log-core down
[17:35:10] [INFO] received Windows console close event; shutting log-core down
[18:18:57] [INFO] received Windows console close event; shutting log-core down
[18:26:25] [INFO] received Windows console close event; shutting log-core down
[14:42:38] [INFO] received Windows console close event; shutting log-core down
[14:42:44] [INFO] received Windows console close event; shutting log-core down
[15:09:32] [INFO] received Windows console close event; shutting log-core down
[19:28:57] [INFO] received Windows console close event; shutting log-core down
[22:56:53] [INFO] received Windows console close event; shutting log-core down
[11:44:51] [INFO] received Windows console close event; shutting log-core down
[11:52:19] [INFO] received Windows console close event; shutting log-core down
[13:32:48] [INFO] received Windows console close event; shutting log-core down
[15:18:06] [INFO] received Windows console close event; shutting log-core down
[15:26:24] [INFO] received Windows console close event; shutting log-core down
[15:48:28] [INFO] received Windows console close event; shutting log-core down
[16:13:54] [INFO] received Windows console close event; shutting log-core down
[16:36:25] [INFO] received Windows console close event; shutting log-core down
[17:14:17] [INFO] received Windows console close event; shutting log-core down
[17:31:48] [INFO] received Windows console close event; shutting log-core down
[17:40:35] [INFO] received Windows console close event; shutting log-core down
[17:51:36] [INFO] received Windows console close event; shutting log-core down
[21:41:55] [INFO] received Windows console close event; shutting log-core down
[09:09:44] [INFO] received Windows console close event; shutting log-core down
